event_at,event_type,position_id,ticker,price,shares,reason,entry_basis,entry_trigger,stop_price,stop_basis,atr14,risk_budget,risk_per_share,initial_risk,last_price,r_multiple,pnl,exit_reason,message
2026-06-18T16:00:00-04:00,entry,GLB-2026-06-18-GOLF,GOLF,107.73,7.0,glb_close,glb_close,104.82,100.95,initial_2atr14,3.3920524335895768,50.0,6.7841048671791535,47.488734070254075,107.73,0.0,0.0,,Official GLB ATH 63D EOD paper entry
2026-06-18T16:00:00-04:00,skip,GLB-2026-06-18-MAMA,MAMA,17.77,,close_below_glb,glb_close,17.86,,2atr14,0.8871908206081505,50.0,,,17.77,,,,Close abaixo da GLB; sem entrada paper.
2026-06-18T16:00:00-04:00,entry,GLB-2026-06-18-CR,CR,214.9,4.0,glb_close,glb_close,214.32,202.7,initial_2atr14,6.102120547121548,50.0,12.204241094243097,48.816964376972386,214.9,0.0,0.0,,Official GLB ATH 63D EOD paper entry
2026-06-22T16:00:00-04:00,skip,GLB-2026-06-22-KYMR,KYMR,100.0,,close_below_glb,glb_close,103.01,,2atr14,4.553915217376749,50.0,,,100.0,,,,Close abaixo da GLB; sem entrada paper.
2026-06-22T16:00:00-04:00,entry,GLB-2026-06-22-WYFI,WYFI,44.9,6.0,glb_close,glb_close,40.76,36.57,initial_2atr14,4.165957045933153,50.0,8.331914091866306,49.991484551197836,44.9,0.0,0.0,,Official GLB ATH 63D EOD paper entry
2026-06-22T16:00:00-04:00,skip,GLB-2026-06-22-TRV,TRV,311.43,,close_below_glb,glb_close,313.13,,2atr14,6.35414143971458,50.0,,,311.43,,,,Close abaixo da GLB; sem entrada paper.
2026-06-22T16:00:00-04:00,skip,GLB-2026-06-22-APH,APH,165.26,,close_below_glb,glb_close,167.05,,2atr14,6.173999597640525,50.0,,,165.26,,,,Close abaixo da GLB; sem entrada paper.
2026-06-22T16:00:00-04:00,skip,GLB-2026-06-22-SPXC,SPXC,246.17,,close_below_glb,glb_close,246.69,,2atr14,10.426860416901134,50.0,,,246.17,,,,Close abaixo da GLB; sem entrada paper.
2026-06-22T16:00:00-04:00,skip,GLB-2026-06-22-CINF,CINF,172.2,,close_below_glb,glb_close,174.28,,2atr14,3.3065997861822995,50.0,,,172.2,,,,Close abaixo da GLB; sem entrada paper.
2026-06-23T16:00:00-04:00,exit,GLB-2026-06-22-WYFI,WYFI,36.5,6.0,gap_initial_stop,glb_close,40.76,36.57,initial_2atr14,5.098975878315094,50.0,8.331914091866306,49.991484551197836,36.5,-1.0081717006900202,-50.39999999999999,gap_initial_stop,GLB official paper exit
2026-06-23T16:00:00-04:00,entry,GLB-2026-06-23-BWB,BWB,20.34,48.0,glb_close,glb_close,20.31,19.31,initial_2atr14,0.5169940819507508,50.0,1.0339881639015016,49.63143186727208,20.34,0.0,0.0,,Official GLB ATH 63D EOD paper entry
2026-06-23T16:00:00-04:00,entry,GLB-2026-06-23-CFG,CFG,68.96,16.0,glb_close,glb_close,68.8,65.93,initial_2atr14,1.5152803506034476,50.0,3.030560701206895,48.48897121931032,68.96,0.0,0.0,,Official GLB ATH 63D EOD paper entry
2026-06-23T16:00:00-04:00,entry,GLB-2026-06-23-TRV,TRV,316.96,3.0,glb_close,glb_close,313.13,304.02,initial_2atr14,6.4723135879315095,50.0,12.944627175863019,38.83388152758906,316.96,0.0,0.0,,Official GLB ATH 63D EOD paper entry
2026-06-23T16:00:00-04:00,entry,GLB-2026-06-23-CINF,CINF,175.81,7.0,glb_close,glb_close,174.28,169.05,initial_2atr14,3.3818427037381467,50.0,6.763685407476293,47.34579785233405,175.81,0.0,0.0,,Official GLB ATH 63D EOD paper entry
2026-06-24T16:00:00-04:00,skip,GLB-2026-06-24-NTRA,NTRA,259.97,,qqq_regime_off,glb_close,256.37,,2atr14,12.686013076240302,50.0,,,259.97,,,,Dados insuficientes para validar o fechamento acima da GLB; sem entrada paper.
2026-06-24T16:00:00-04:00,skip,GLB-2026-06-24-BCAL,BCAL,20.62,,qqq_regime_off,glb_close,20.48,,2atr14,0.4898134799721536,50.0,,,20.62,,,,Dados insuficientes para validar o fechamento acima da GLB; sem entrada paper.
2026-06-24T16:00:00-04:00,skip,GLB-2026-06-24-FBNC,FBNC,62.71,,qqq_regime_off,glb_close,62.65,,2atr14,1.4644093612782352,50.0,,,62.71,,,,Dados insuficientes para validar o fechamento acima da GLB; sem entrada paper.
2026-06-24T16:00:00-04:00,skip,GLB-2026-06-24-CAH,CAH,233.01,,close_below_glb,glb_close,233.61,,2atr14,5.627501278324928,50.0,,,233.01,,,,Close abaixo da GLB; sem entrada paper.
2026-06-24T16:00:00-04:00,skip,GLB-2026-06-24-MBWM,MBWM,55.79,,qqq_regime_off,glb_close,55.78,,2atr14,1.6318575450141857,50.0,,,55.79,,,,Dados insuficientes para validar o fechamento acima da GLB; sem entrada paper.
